Max Iterations,Feature Set,Learning Rate,Type Set,MATCHES,MISMATCHES,TRUE POSITIVES,TRUE NEGATIVES,PREDICTED POSITIVES,PREDICTED NEGATIVES,ACTUAL POSITIVES,ACTUAL NEGATIVES,ACCURACY,PRECISION (POS),RECALL (POS),AVERAGE (POS),F-SCORE (POS),PRECISION (NEG),RECALL (NEG),AVERAGE (NEG),F-SCORE (NEG)
1000,BIGRAMS,0.5,Training,7993,0,3997,3996,3997,3996,3998,3995,1.0000001252190551,1.0,0.9997498749374687,0.9998749374687343,0.9998749218261413,1.0,1.000250312891114,1.000125156445557,1.0001251407833813
1000,BIGRAMS,0.5,Test,1531,1134,437,1094,675,1990,1333,1332,0.2692553769072899,0.6474074074074074,0.3278319579894974,0.4876196826984524,0.4352589641434263,0.549748743718593,0.8213213213213213,0.6855350325199572,0.6586393738711619
10,3-GRAMS,0.75,Training,7825,143,3846,3979,3846,4122,3998,3970,0.9641618038238264,1.0,0.9619809904952477,0.9809904952476238,0.9806221315655278,0.965308102862688,1.0022670025188918,0.9837875526907899,0.9834404349975284
10,3-GRAMS,0.75,Test,1433,1226,251,1182,396,2263,1333,1326,0.16784852321677707,0.6338383838383839,0.18829707426856715,0.4110677290534755,0.2903412377096588,0.5223155103844455,0.8914027149321267,0.7068591126582862,0.6586792978545556
100,3-GRAMS,0.75,Training,7968,0,3989,3979,3989,3979,3998,3970,1.0000107736487893,1.0,0.9977488744372186,0.9988744372186094,0.9988731688994615,1.0,1.0022670025188918,1.0011335012594458,1.0011322178890427
100,3-GRAMS,0.75,Test,1433,1226,250,1183,394,2265,1333,1326,0.1673212420752247,0.6345177664974619,0.18754688672168043,0.4110323266095712,0.28951939779965263,0.5222958057395144,0.8921568627450981,0.7072263342423062,0.6588693957115012
1000,3-GRAMS,0.75,Training,7968,0,3989,3979,3989,3979,3998,3970,1.0000107736487893,1.0,0.9977488744372186,0.9988744372186094,0.9988731688994615,1.0,1.0022670025188918,1.0011335012594458,1.0011322178890427
1000,3-GRAMS,0.75,Test,1433,1226,250,1183,394,2265,1333,1326,0.1673212420752247,0.6345177664974619,0.18754688672168043,0.4110323266095712,0.28951939779965263,0.5222958057395144,0.8921568627450981,0.7072263342423062,0.6588693957115012
10,3-GRAMS,0.5,Training,7886,82,3907,3979,3907,4061,3998,3970,0.9794540217211881,1.0,0.9772386193096548,0.9886193096548275,0.9884882985452245,0.979807929081507,1.0022670025188918,0.9910374658001995,0.9909102228863155
10,3-GRAMS,0.5,Test,1433,1226,248,1185,390,2269,1333,1326,0.16626328527833317,0.6358974358974359,0.18604651162790697,0.4109719737626714,0.2878699941961695,0.5222565006610842,0.8936651583710408,0.7079608295160624,0.659248956884562
100,3-GRAMS,0.5,Training,7968,0,3989,3979,3989,3979,3998,3970,1.0000107736487893,1.0,0.9977488744372186,0.9988744372186094,0.9988731688994615,1.0,1.0022670025188918,1.0011335012594458,1.0011322178890427
100,3-GRAMS,0.5,Test,1429,1230,244,1185,386,2273,1333,1326,0.16358161938674715,0.6321243523316062,0.18304576144036008,0.4075850568859832,0.2838859802210587,0.5213374395072591,0.8936651583710408,0.7075012989391499,0.6585162545151431
1000,3-GRAMS,0.5,Training,7968,0,3989,3979,3989,3979,3998,3970,1.0000107736487893,1.0,0.9977488744372186,0.9988744372186094,0.9988731688994615,1.0,1.0022670025188918,1.0011335012594458,1.0011322178890427
1000,3-GRAMS,0.5,Test,1429,1230,244,1185,386,2273,1333,1326,0.16358161938674715,0.6321243523316062,0.18304576144036008,0.4075850568859832,0.2838859802210587,0.5213374395072591,0.8936651583710408,0.7075012989391499,0.6585162545151431
10,4-GRAMS,0.75,Training,7846,0,3927,3919,3927,3919,3998,3848,1.0003645923793496,1.0,0.9822411205602801,0.9911205602801401,0.9910410094637224,1.0,1.0184511434511434,1.0092255717255716,1.009141238573452
10,4-GRAMS,0.75,Test,1330,1295,54,1276,83,2542,1333,1292,0.040008454125915374,0.6506024096385542,0.04051012753188297,0.3455562685852186,0.07627118644067796,0.5019669551534225,0.9876160990712074,0.7447915271123149,0.6656233698487221
100,4-GRAMS,0.75,Training,7846,0,3927,3919,3927,3919,3998,3848,1.0003645923793496,1.0,0.9822411205602801,0.9911205602801401,0.9910410094637224,1.0,1.0184511434511434,1.0092255717255716,1.009141238573452
100,4-GRAMS,0.75,Test,1330,1295,54,1276,83,2542,1333,1292,0.040008454125915374,0.6506024096385542,0.04051012753188297,0.3455562685852186,0.07627118644067796,0.5019669551534225,0.9876160990712074,0.7447915271123149,0.6656233698487221
1000,4-GRAMS,0.75,Training,7846,0,3927,3919,3927,3919,3998,3848,1.0003645923793496,1.0,0.9822411205602801,0.9911205602801401,0.9910410094637224,1.0,1.0184511434511434,1.0092255717255716,1.009141238573452
1000,4-GRAMS,0.75,Test,1330,1295,54,1276,83,2542,1333,1292,0.040008454125915374,0.6506024096385542,0.04051012753188297,0.3455562685852186,0.07627118644067796,0.5019669551534225,0.9876160990712074,0.7447915271123149,0.6656233698487221
10,4-GRAMS,0.5,Training,7846,0,3927,3919,3927,3919,3998,3848,1.0003645923793496,1.0,0.9822411205602801,0.9911205602801401,0.9910410094637224,1.0,1.0184511434511434,1.0092255717255716,1.009141238573452
10,4-GRAMS,0.5,Test,1334,1291,57,1277,85,2540,1333,1292,0.04226424253122104,0.6705882352941176,0.04276069017254314,0.35667446273333037,0.08039492242595205,0.502755905511811,0.9883900928792569,0.745572999195534,0.6664926931106472
100,4-GRAMS,0.5,Training,7846,0,3927,3919,3927,3919,3998,3848,1.0003645923793496,1.0,0.9822411205602801,0.9911205602801401,0.9910410094637224,1.0,1.0184511434511434,1.0092255717255716,1.009141238573452
100,4-GRAMS,0.5,Test,1334,1291,57,1277,85,2540,1333,1292,0.04226424253122104,0.6705882352941176,0.04276069017254314,0.35667446273333037,0.08039492242595205,0.502755905511811,0.9883900928792569,0.745572999195534,0.6664926931106472
1000,4-GRAMS,0.5,Training,7846,0,3927,3919,3927,3919,3998,3848,1.0003645923793496,1.0,0.9822411205602801,0.9911205602801401,0.9910410094637224,1.0,1.0184511434511434,1.0092255717255716,1.009141238573452
1000,4-GRAMS,0.5,Test,1334,1291,57,1277,85,2540,1333,1292,0.04226424253122104,0.6705882352941176,0.04276069017254314,0.35667446273333037,0.08039492242595205,0.502755905511811,0.9883900928792569,0.745572999195534,0.6664926931106472
10,5-GRAMS,0.75,Training,7658,0,3841,3817,3841,3817,3998,3660,1.0019420229240303,1.0,0.9607303651825913,0.9803651825912956,0.9799719351958158,1.0,1.042896174863388,1.021448087431694,1.0209977263608399
10,5-GRAMS,0.75,Test,1275,1282,8,1267,12,2545,1333,1224,0.00621233739807501,0.6666666666666666,0.006001500375093774,0.3363340835208802,0.011895910780669145,0.49783889980353635,1.0351307189542485,0.7664848093788924,0.6723268771557442
100,5-GRAMS,0.75,Training,7658,0,3841,3817,3841,3817,3998,3660,1.0019420229240303,1.0,0.9607303651825913,0.9803651825912956,0.9799719351958158,1.0,1.042896174863388,1.021448087431694,1.0209977263608399
100,5-GRAMS,0.75,Test,1275,1282,8,1267,12,2545,1333,1224,0.00621233739807501,0.6666666666666666,0.006001500375093774,0.3363340835208802,0.011895910780669145,0.49783889980353635,1.0351307189542485,0.7664848093788924,0.6723268771557442
