Max Iterations,Feature Set,Learning Rate,Type Set,MATCHES,MISMATCHES,TRUE POSITIVES,TRUE NEGATIVES,PREDICTED POSITIVES,PREDICTED NEGATIVES,ACTUAL POSITIVES,ACTUAL NEGATIVES,ACCURACY,PRECISION (POS),RECALL (POS),AVERAGE (POS),F-SCORE (POS),PRECISION (NEG),RECALL (NEG),AVERAGE (NEG),F-SCORE (NEG)
100,UNIGRAMS,0.5,Training,5070,2926,1072,3998,1072,6924,3998,3998,0.2681340670335168,1.0,0.2681340670335168,0.6340670335167584,0.42287968441814594,0.5774119006354709,1.0,0.7887059503177354,0.7321003479216261
100,UNIGRAMS,0.5,Test,1496,1170,207,1289,251,2415,1333,1333,0.1501630096196217,0.8247011952191236,0.15528882220555137,0.4899950087123375,0.2613636363636363,0.5337474120082816,0.9669917479369843,0.7503695799726329,0.6878335112059766
1000,UNIGRAMS,0.5,Training,7996,0,3998,3998,3998,3998,3998,3998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1000,UNIGRAMS,0.5,Test,1970,696,925,1045,1213,1453,1333,1333,0.5439985277639741,0.7625721352019785,0.6939234808702176,0.7282478080360981,0.7266300078554595,0.7192016517549896,0.7839459864966242,0.7515738191258069,0.7501794687724336
5000,UNIGRAMS,0.5,Training,7996,0,3998,3998,3998,3998,3998,3998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5000,UNIGRAMS,0.5,Test,1970,696,925,1045,1213,1453,1333,1333,0.5439985277639741,0.7625721352019785,0.6939234808702176,0.7282478080360981,0.7266300078554595,0.7192016517549896,0.7839459864966242,0.7515738191258069,0.7501794687724336
10,UNIGRAMS,0.25,Training,4194,3802,196,3998,196,7800,3998,3998,0.04902451225612806,1.0,0.04902451225612806,0.5245122561280641,0.09346685741535526,0.5125641025641026,1.0,0.7562820512820513,0.6777419901678251
10,UNIGRAMS,0.25,Test,1345,1321,31,1314,50,2616,1333,1333,0.022924335735096564,0.62,0.023255813953488372,0.3216279069767442,0.04483007953723788,0.5022935779816514,0.9857464366091523,0.7440200072954019,0.6654849328944037
100,UNIGRAMS,0.25,Training,5218,2778,1220,3998,1220,6776,3998,3998,0.3051525762881441,1.0,0.3051525762881441,0.652576288144072,0.467612111920276,0.5900236127508854,1.0,0.7950118063754428,0.7421570447373306
100,UNIGRAMS,0.25,Test,1528,1138,242,1286,289,2377,1333,1333,0.1751443112090851,0.8373702422145328,0.18154538634658665,0.5094578142805597,0.29839704069050554,0.5410180900294489,0.9647411852963241,0.7528796376628866,0.6932614555256065
1000,UNIGRAMS,0.25,Training,7996,0,3998,3998,3998,3998,3998,3998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
